ra,nome_exibicao,ano_referencia,origem_aba,fase,turma,ciclo_programa,pedra_atual,genero,idade,ano_nasc,ano_ingresso,anos_no_programa,instituicao,fase_ideal_num,inde_22,inde_23,inde_24,inde_atual,inde_anterior,delta_inde,cg,cf,ct,n_av,iaa,ieg,ips,ipp,ida,ipv,ian,categoria_ian,risco_atual,mat,por,ing,media_academica,media_comportamental,defasagem
RA-673,Aluno-673,2022,PEDE2022,0,A,Topazio,Topazio,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,8.65,,,8.65,,,21.0,2.0,1.0,2.0,8.5,9.2,8.1,,9.2,8.583,10.0,Adequado,0.0,9.4,8.9,,9.15,8.6,0
RA-674,Aluno-674,2022,PEDE2022,0,A,Ametista,Ametista,Masculino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.862,,,7.862,,,181.0,50.0,3.0,2.0,9.5,8.7,8.1,,8.0,6.333,10.0,Adequado,0.0,8.9,7.0,,7.95,8.766666666666666,0
RA-675,Aluno-675,2022,PEDE2022,0,A,Ametista,Ametista,Masculino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.576,,,7.576,,,284.0,79.0,5.0,2.0,10.0,6.6,8.1,,7.4,7.083,10.0,Adequado,0.0,8.8,5.9,,7.3500000000000005,8.233333333333334,0
RA-676,Aluno-676,2022,PEDE2022,0,A,Ametista,Ametista,Masculino,9.0,2013.0,2021,1.0,Escola Pública,1.0,7.911,,,7.911,,,165.0,44.0,2.0,2.0,8.5,8.6,8.1,,9.3,8.167,5.0,Defasagem moderada,1.0,9.5,9.1,,9.3,8.4,-1
RA-677,Aluno-677,2022,PEDE2022,0,B,Topazio,Topazio,Feminino,8.0,2014.0,2021,1.0,Escola Pública,0.0,8.358,,,8.358,,,52.0,13.0,1.0,2.0,10.0,9.4,7.5,,7.3,8.583,10.0,Adequado,0.0,7.7,6.8,,7.25,8.966666666666667,0
RA-678,Aluno-678,2022,PEDE2022,0,B,Ametista,Ametista,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,8.0,,,8.0,,,143.0,40.0,2.0,2.0,9.0,10.0,6.9,,7.3,9.5,5.0,Defasagem moderada,1.0,7.5,7.0,,7.25,8.633333333333333,-1
RA-679,Aluno-679,2022,PEDE2022,0,B,Ametista,Ametista,Masculino,10.0,2012.0,2020,2.0,Escola Pública,2.0,7.172,,,7.172,,,441.0,129.0,6.0,2.0,9.0,8.2,7.5,,6.3,7.833,5.0,Defasagem moderada,1.0,6.7,5.8,,6.25,8.233333333333333,-2
RA-68,Aluno-68,2022,PEDE2022,5,C,Agata,Agata,Masculino,16.0,2006.0,2019,3.0,Escola Pública,6.0,6.438,,,6.438,,,653.0,40.0,2.0,4.0,8.3,6.0,7.5,,4.0,7.944,5.0,Defasagem moderada,1.0,4.7,4.8,2.7,4.066666666666666,7.266666666666667,-1
RA-680,Aluno-680,2022,PEDE2022,0,B,Ametista,Ametista,Feminino,10.0,2012.0,2019,3.0,Escola Pública,2.0,7.518,,,7.518,,,302.0,85.0,4.0,2.0,9.5,8.8,7.5,,7.4,7.75,5.0,Defasagem moderada,1.0,8.0,6.8,,7.4,8.6,-2
RA-681,Aluno-681,2022,PEDE2022,0,B,Ametista,Ametista,Masculino,10.0,2012.0,2022,0.0,Escola Pública,2.0,7.204,,,7.204,,,427.0,128.0,5.0,2.0,8.5,8.5,6.9,,6.5,8.0,5.0,Defasagem moderada,1.0,6.5,6.5,,6.5,7.966666666666666,-2
RA-682,Aluno-682,2022,PEDE2022,0,B,Ametista,Ametista,Masculino,11.0,2011.0,2022,0.0,Escola Pública,2.0,7.625,,,7.625,,,262.0,74.0,3.0,2.0,9.5,9.1,7.5,,7.0,8.083,5.0,Defasagem moderada,1.0,7.0,7.0,,7.0,8.700000000000001,-2
RA-683,Aluno-683,2022,PEDE2022,0,C,Agata,Agata,Masculino,10.0,2012.0,2022,0.0,Escola Pública,2.0,6.011,,,6.011,,,728.0,180.0,3.0,2.0,7.9,5.0,7.5,,4.0,8.083,5.0,Defasagem moderada,1.0,8.0,0.0,,4.0,6.8,-2
RA-684,Aluno-684,2022,PEDE2022,0,C,Topazio,Topazio,Masculino,7.0,2015.0,2022,0.0,Escola Pública,0.0,8.26,,,8.26,,,72.0,19.0,1.0,2.0,9.5,7.5,8.1,,9.3,7.917,10.0,Adequado,0.0,9.0,9.6,,9.3,8.366666666666667,0
RA-685,Aluno-685,2022,PEDE2022,0,C,Agata,Agata,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.864,,,6.864,,,533.0,152.0,2.0,2.0,9.0,6.2,5.0,,8.0,7.833,5.0,Defasagem moderada,1.0,8.0,8.0,,8.0,6.733333333333333,-1
RA-686,Aluno-686,2022,PEDE2022,0,D,Ametista,Ametista,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.729,,,7.729,,,227.0,62.0,5.0,2.0,7.5,8.6,8.1,,8.8,8.083,5.0,Defasagem moderada,1.0,9.2,8.5,,8.85,8.066666666666668,-1
RA-687,Aluno-687,2022,PEDE2022,0,D,Ametista,Ametista,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.703,,,7.703,,,233.0,63.0,6.0,2.0,8.5,9.0,8.1,,8.3,8.0,5.0,Defasagem moderada,1.0,9.0,7.5,,8.25,8.533333333333333,-1
RA-688,Aluno-688,2022,PEDE2022,0,D,Ametista,Ametista,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.771,,,7.771,,,212.0,56.0,4.0,2.0,8.5,9.7,7.5,,7.9,7.917,5.0,Defasagem moderada,1.0,8.0,7.8,,7.9,8.566666666666666,-1
RA-689,Aluno-689,2022,PEDE2022,0,D,Agata,Agata,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.433,,,6.433,,,655.0,172.0,9.0,2.0,7.4,7.9,5.6,,5.8,6.667,5.0,Defasagem moderada,1.0,6.0,5.5,,5.75,6.966666666666666,-1
RA-69,Aluno-69,2022,PEDE2022,5,C,Quartzo,Quartzo,Masculino,16.0,2006.0,2018,4.0,Escola Pública,6.0,5.718,,,5.718,,,756.0,47.0,3.0,4.0,8.3,6.1,7.5,,2.5,6.167,5.0,Defasagem moderada,1.0,4.7,2.6,0.3,2.5333333333333337,7.3,-1
RA-690,Aluno-690,2022,PEDE2022,0,D,Ametista,Ametista,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.541,,,7.541,,,294.0,83.0,8.0,2.0,9.5,9.5,7.5,,7.0,7.417,5.0,Defasagem moderada,1.0,7.2,6.8,,7.0,8.833333333333334,-1
RA-691,Aluno-691,2022,PEDE2022,0,D,Topazio,Topazio,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,8.68,,,8.68,,,16.0,1.0,1.0,2.0,10.0,9.2,8.1,,9.4,7.917,10.0,Adequado,0.0,9.6,9.3,,9.45,9.1,0
RA-692,Aluno-692,2022,PEDE2022,0,D,Ametista,Ametista,Feminino,9.0,2013.0,2021,1.0,Escola Pública,1.0,7.569,,,7.569,,,285.0,80.0,7.0,2.0,9.5,8.9,8.1,,6.9,7.917,5.0,Defasagem moderada,1.0,7.0,6.8,,6.9,8.833333333333334,-1
RA-693,Aluno-693,2022,PEDE2022,0,D,Ametista,Ametista,Feminino,7.0,2015.0,2022,0.0,Escola Pública,0.0,7.944,,,7.944,,,158.0,43.0,3.0,2.0,9.5,9.8,8.1,,5.7,7.667,10.0,Adequado,0.0,5.0,6.3,,5.65,9.133333333333333,0
RA-694,Aluno-694,2022,PEDE2022,0,D,Topazio,Topazio,Masculino,8.0,2014.0,2022,0.0,Escola Pública,0.0,8.378,,,8.378,,,49.0,11.0,2.0,2.0,10.0,9.0,8.1,,8.1,7.917,10.0,Adequado,0.0,8.2,8.0,,8.1,9.033333333333333,0
RA-695,Aluno-695,2022,PEDE2022,0,E,Quartzo,Quartzo,Feminino,8.0,2014.0,2021,1.0,Escola Pública,0.0,4.28,,,4.28,,,849.0,189.0,5.0,2.0,9.0,3.1,7.5,,2.5,2.5,10.0,Adequado,0.0,2.2,2.8,,2.5,6.533333333333334,0
RA-696,Aluno-696,2022,PEDE2022,0,E,Ametista,Ametista,Feminino,9.0,2013.0,2021,1.0,Escola Pública,1.0,7.441,,,7.441,,,338.0,98.0,2.0,2.0,8.5,9.0,7.5,,6.6,8.167,5.0,Defasagem moderada,1.0,6.5,6.7,,6.6,8.333333333333334,-1
RA-697,Aluno-697,2022,PEDE2022,0,E,Ametista,Ametista,Masculino,11.0,2011.0,2021,1.0,Escola Pública,2.0,7.675,,,7.675,,,246.0,67.0,1.0,2.0,7.0,9.3,7.5,,8.4,8.083,5.0,Defasagem moderada,1.0,8.8,8.0,,8.4,7.933333333333334,-2
RA-698,Aluno-698,2022,PEDE2022,0,E,Ametista,Ametista,Masculino,9.0,2013.0,2021,1.0,Escola Pública,1.0,7.44,,,7.44,,,339.0,99.0,3.0,2.0,9.0,9.8,2.5,,8.1,8.083,5.0,Defasagem moderada,1.0,8.0,8.2,,8.1,7.1000000000000005,-1
RA-699,Aluno-699,2022,PEDE2022,0,E,Agata,Agata,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.658,,,6.658,,,603.0,165.0,4.0,2.0,5.2,9.2,7.5,,7.1,6.0,5.0,Defasagem moderada,1.0,7.5,6.7,,7.1,7.3,-1
RA-7,Aluno-7,2022,PEDE2022,7,A,Agata,Agata,Masculino,18.0,2004.0,2017,5.0,Rede Decisão,8.0,6.818,,,6.818,,,550.0,11.0,5.0,4.0,0.0,8.4,7.5,,7.6,7.667,5.0,Defasagem moderada,1.0,8.2,5.7,9.0,7.633333333333333,5.3,-1
RA-70,Aluno-70,2022,PEDE2022,5,C,Quartzo,Quartzo,Feminino,16.0,2006.0,2017,5.0,Escola Pública,6.0,5.712,,,5.712,,,757.0,48.0,4.0,4.0,8.8,6.6,5.0,,2.9,6.111,5.0,Defasagem moderada,1.0,5.7,2.9,0.2,2.933333333333333,6.8,-1
RA-700,Aluno-700,2022,PEDE2022,0,F,Ametista,Ametista,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.738,,,7.738,,,224.0,60.0,2.0,2.0,9.0,8.7,7.5,,9.2,7.083,5.0,Defasagem moderada,1.0,9.2,9.2,,9.2,8.4,-1
RA-701,Aluno-701,2022,PEDE2022,0,F,Ametista,Ametista,Masculino,10.0,2012.0,2021,1.0,Escola Pública,2.0,7.755,,,7.755,,,215.0,57.0,1.0,2.0,9.0,9.3,7.5,,8.7,7.417,5.0,Defasagem moderada,1.0,8.7,8.7,,8.7,8.6,-2
RA-702,Aluno-702,2022,PEDE2022,0,F,Ametista,Ametista,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.387,,,7.387,,,366.0,110.0,5.0,2.0,10.0,8.6,5.0,,6.8,7.0,10.0,Adequado,0.0,7.0,6.7,,6.85,7.866666666666667,0
RA-703,Aluno-703,2022,PEDE2022,0,F,Agata,Agata,Masculino,10.0,2012.0,2021,1.0,Escola Pública,2.0,6.099,,,6.099,,,710.0,177.0,9.0,2.0,7.5,7.4,5.0,,5.1,6.833,5.0,Defasagem moderada,1.0,5.3,4.8,,5.05,6.633333333333333,-2
RA-704,Aluno-704,2022,PEDE2022,0,F,Agata,Agata,Masculino,10.0,2012.0,2022,0.0,Escola Pública,2.0,6.741,,,6.741,,,572.0,160.0,7.0,2.0,9.0,8.6,5.0,,7.2,6.583,5.0,Defasagem moderada,1.0,7.7,6.6,,7.15,7.533333333333334,-2
RA-705,Aluno-705,2022,PEDE2022,0,F,Agata,Agata,Masculino,10.0,2012.0,2022,0.0,Escola Pública,2.0,6.634,,,6.634,,,614.0,168.0,8.0,2.0,9.5,6.2,7.5,,7.1,6.333,5.0,Defasagem moderada,1.0,7.0,7.2,,7.1,7.733333333333333,-2
RA-706,Aluno-706,2022,PEDE2022,0,F,Ametista,Ametista,Feminino,10.0,2012.0,2021,1.0,Escola Pública,2.0,7.659,,,7.659,,,252.0,69.0,4.0,2.0,9.5,6.7,7.5,,9.1,8.417,5.0,Defasagem moderada,1.0,9.1,9.1,,9.1,7.8999999999999995,-2
RA-707,Aluno-707,2022,PEDE2022,0,F,Ametista,Ametista,Feminino,10.0,2012.0,2020,2.0,Escola Pública,2.0,7.679,,,7.679,,,241.0,64.0,3.0,2.0,10.0,8.1,6.9,,8.5,8.083,5.0,Defasagem moderada,1.0,8.8,8.2,,8.5,8.333333333333334,-2
RA-708,Aluno-708,2022,PEDE2022,0,F,Ametista,Ametista,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.282,,,7.282,,,400.0,117.0,6.0,2.0,8.0,8.4,7.5,,7.3,7.583,5.0,Defasagem moderada,1.0,7.1,7.6,,7.35,7.966666666666666,-1
RA-709,Aluno-709,2022,PEDE2022,0,F,Quartzo,Quartzo,Feminino,10.0,2012.0,2022,0.0,Escola Pública,2.0,5.313,,,5.313,,,801.0,186.0,10.0,2.0,9.5,3.5,7.5,,2.3,7.083,5.0,Defasagem moderada,1.0,2.3,2.3,,2.3,6.833333333333333,-2
RA-71,Aluno-71,2022,PEDE2022,5,C,Quartzo,Quartzo,Feminino,17.0,2005.0,2019,3.0,Escola Pública,7.0,4.332,,,4.332,,,846.0,58.0,8.0,4.0,7.9,2.0,7.5,,1.2,5.833,5.0,Defasagem moderada,1.0,1.3,2.2,0.0,1.1666666666666667,5.8,-2
RA-710,Aluno-710,2022,PEDE2022,0,G,Ametista,Ametista,Masculino,10.0,2012.0,2020,2.0,Escola Pública,2.0,7.285,,,7.285,,,398.0,116.0,5.0,2.0,9.5,8.9,5.0,,6.9,8.0,5.0,Defasagem moderada,1.0,7.0,6.8,,6.9,7.8,-2
RA-711,Aluno-711,2022,PEDE2022,0,G,Agata,Agata,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.04,,,6.04,,,721.0,178.0,11.0,2.0,9.0,7.9,6.3,,3.5,6.0,5.0,Defasagem moderada,1.0,4.0,3.0,,3.5,7.733333333333333,-1
RA-712,Aluno-712,2022,PEDE2022,0,G,Agata,Agata,Masculino,11.0,2011.0,2019,3.0,Escola Pública,2.0,6.026,,,6.026,,,725.0,179.0,12.0,2.0,8.0,5.1,5.0,,8.0,5.833,5.0,Defasagem moderada,1.0,8.7,7.3,,8.0,6.033333333333334,-2
RA-713,Aluno-713,2022,PEDE2022,0,G,Ametista,Ametista,Masculino,9.0,2013.0,2021,1.0,Escola Pública,1.0,7.42,,,7.42,,,348.0,102.0,3.0,2.0,10.0,8.7,7.5,,7.8,7.25,5.0,Defasagem moderada,1.0,8.0,7.7,,7.85,8.733333333333333,-1
RA-714,Aluno-714,2022,PEDE2022,0,G,Agata,Agata,Masculino,11.0,2011.0,2019,3.0,Escola Pública,2.0,6.953,,,6.953,,,503.0,144.0,6.0,2.0,9.0,6.9,5.6,,8.0,7.25,5.0,Defasagem moderada,1.0,8.5,7.5,,8.0,7.166666666666667,-2
RA-715,Aluno-715,2022,PEDE2022,0,G,Agata,Agata,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.656,,,6.656,,,604.0,166.0,9.0,2.0,8.5,8.7,4.4,,4.9,7.917,5.0,Defasagem moderada,1.0,4.8,5.0,,4.9,7.2,-1
RA-716,Aluno-716,2022,PEDE2022,0,G,Agata,Agata,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.525,,,6.525,,,641.0,171.0,10.0,2.0,8.9,8.1,7.5,,6.7,5.417,5.0,Defasagem moderada,1.0,7.3,6.0,,6.65,8.166666666666666,-1
RA-717,Aluno-717,2022,PEDE2022,0,G,Agata,Agata,Feminino,10.0,2012.0,2021,1.0,Escola Pública,2.0,6.832,,,6.832,,,545.0,155.0,7.0,2.0,9.0,7.3,7.5,,5.4,7.917,5.0,Defasagem moderada,1.0,5.0,5.8,,5.4,7.933333333333334,-2
RA-718,Aluno-718,2022,PEDE2022,0,G,Topazio,Topazio,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,8.093,,,8.093,,,118.0,33.0,1.0,2.0,8.0,8.9,6.3,,9.2,7.417,10.0,Adequado,0.0,9.2,9.2,,9.2,7.733333333333333,0
RA-719,Aluno-719,2022,PEDE2022,0,G,Quartzo,Quartzo,Feminino,10.0,2012.0,2021,1.0,Escola Pública,2.0,5.552,,,5.552,,,783.0,185.0,13.0,2.0,9.0,4.6,7.5,,4.2,6.083,5.0,Defasagem moderada,1.0,5.0,3.3,,4.15,7.033333333333334,-2
RA-72,Aluno-72,2022,PEDE2022,5,C,Ametista,Ametista,Feminino,17.0,2005.0,2022,0.0,Escola Pública,7.0,7.64,,,7.64,,,259.0,16.0,1.0,4.0,8.3,7.5,7.5,,7.8,8.667,5.0,Defasagem moderada,1.0,7.5,7.8,8.0,7.766666666666667,7.766666666666667,-2
RA-720,Aluno-720,2022,PEDE2022,0,G,Agata,Agata,Feminino,9.0,2013.0,2021,1.0,Escola Pública,1.0,6.731,,,6.731,,,575.0,161.0,8.0,2.0,8.0,5.9,7.5,,7.6,7.083,5.0,Defasagem moderada,1.0,7.3,7.8,,7.55,7.133333333333333,-1
RA-721,Aluno-721,2022,PEDE2022,0,G,Ametista,Ametista,Feminino,8.0,2014.0,2021,1.0,Escola Pública,0.0,7.973,,,7.973,,,149.0,41.0,2.0,2.0,9.5,8.1,7.5,,7.6,7.917,10.0,Adequado,0.0,8.2,7.0,,7.6,8.366666666666667,0
RA-722,Aluno-722,2022,PEDE2022,0,G,Ametista,Ametista,Feminino,9.0,2013.0,2021,1.0,Escola Pública,1.0,7.41,,,7.41,,,355.0,106.0,4.0,2.0,10.0,8.1,4.4,,8.1,8.333,5.0,Defasagem moderada,1.0,7.8,8.3,,8.05,7.5,-1
RA-723,Aluno-723,2022,PEDE2022,0,H,Ametista,Ametista,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.426,,,7.426,,,345.0,101.0,4.0,2.0,10.0,6.6,8.1,,5.5,8.167,10.0,Adequado,0.0,5.3,5.7,,5.5,8.233333333333334,0
RA-724,Aluno-724,2022,PEDE2022,0,H,Agata,Agata,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,6.931,,,6.931,,,512.0,146.0,6.0,2.0,9.5,5.9,5.6,,5.6,8.0,10.0,Adequado,0.0,2.9,8.3,,5.6000000000000005,7.0,0
RA-725,Aluno-725,2022,PEDE2022,0,H,Agata,Agata,Masculino,8.0,2014.0,2022,0.0,Escola Pública,0.0,6.33,,,6.33,,,675.0,175.0,7.0,2.0,8.0,5.9,8.1,,5.0,5.5,10.0,Adequado,0.0,4.0,6.0,,5.0,7.333333333333333,0
RA-726,Aluno-726,2022,PEDE2022,0,H,Agata,Agata,Feminino,7.0,2015.0,2022,0.0,Escola Pública,0.0,6.985,,,6.985,,,492.0,140.0,5.0,2.0,10.0,7.5,7.5,,4.4,6.583,10.0,Adequado,0.0,5.8,3.0,,4.4,8.333333333333334,0
RA-727,Aluno-727,2022,PEDE2022,0,H,Ametista,Ametista,Masculino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.736,,,7.736,,,225.0,61.0,3.0,2.0,9.0,7.7,8.1,,8.4,6.75,10.0,Adequado,0.0,9.3,7.4,,8.350000000000001,8.266666666666666,0
RA-728,Aluno-728,2022,PEDE2022,0,H,Topazio,Topazio,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,8.244,,,8.244,,,74.0,20.0,1.0,2.0,9.5,7.3,8.1,,9.1,8.167,10.0,Adequado,0.0,9.3,8.9,,9.100000000000001,8.299999999999999,0
RA-729,Aluno-729,2022,PEDE2022,0,H,Topazio,Topazio,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,8.155,,,8.155,,,96.0,26.0,2.0,2.0,10.0,8.7,8.1,,8.1,7.25,10.0,Adequado,0.0,8.5,7.8,,8.15,8.933333333333332,0
RA-73,Aluno-73,2022,PEDE2022,5,C,Quartzo,Quartzo,Feminino,17.0,2005.0,2022,0.0,Escola Pública,7.0,5.271,,,5.271,,,804.0,55.0,5.0,4.0,7.1,3.0,7.5,,3.3,7.278,5.0,Defasagem moderada,1.0,4.5,3.0,2.3,3.266666666666667,5.866666666666667,-2
RA-730,Aluno-730,2022,PEDE2022,0,I,Ametista,Ametista,Feminino,10.0,2012.0,2021,1.0,Escola Pública,2.0,7.902,,,7.902,,,169.0,46.0,1.0,2.0,10.0,8.2,8.8,,8.3,8.25,5.0,Defasagem moderada,1.0,8.7,8.0,,8.35,9.0,-2
RA-731,Aluno-731,2022,PEDE2022,0,I,Ametista,Ametista,Feminino,10.0,2012.0,2019,3.0,Escola Pública,2.0,7.151,,,7.151,,,443.0,130.0,3.0,2.0,9.0,8.5,6.9,,7.3,7.083,5.0,Defasagem moderada,1.0,7.3,7.2,,7.25,8.133333333333333,-2
RA-732,Aluno-732,2022,PEDE2022,0,I,Ametista,Ametista,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.347,,,7.347,,,377.0,113.0,2.0,2.0,9.0,7.9,8.8,,7.2,7.5,5.0,Defasagem moderada,1.0,7.5,6.8,,7.15,8.566666666666666,-1
RA-733,Aluno-733,2022,PEDE2022,0,J,Agata,Agata,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.684,,,6.684,,,594.0,163.0,13.0,2.0,9.5,8.5,5.6,,5.1,6.917,5.0,Defasagem moderada,1.0,6.0,4.2,,5.1,7.866666666666667,-1
RA-734,Aluno-734,2022,PEDE2022,0,J,Agata,Agata,Feminino,10.0,2012.0,2022,0.0,Escola Pública,2.0,6.952,,,6.952,,,505.0,145.0,9.0,2.0,9.5,7.2,5.6,,7.3,7.417,5.0,Defasagem moderada,1.0,8.0,6.5,,7.25,7.433333333333333,-2
RA-735,Aluno-735,2022,PEDE2022,0,J,Ametista,Ametista,Feminino,10.0,2012.0,2021,1.0,Escola Pública,2.0,7.485,,,7.485,,,316.0,92.0,4.0,2.0,9.0,9.0,5.6,,7.3,8.583,5.0,Defasagem moderada,1.0,7.8,6.7,,7.25,7.866666666666667,-2
RA-736,Aluno-736,2022,PEDE2022,0,J,Agata,Agata,Masculino,10.0,2012.0,2022,0.0,Escola Pública,2.0,6.707,,,6.707,,,589.0,162.0,12.0,2.0,9.0,8.5,5.6,,5.4,7.0,5.0,Defasagem moderada,1.0,4.7,6.2,,5.45,7.7,-2
RA-737,Aluno-737,2022,PEDE2022,0,J,Ametista,Ametista,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,8.058,,,8.058,,,131.0,37.0,1.0,2.0,9.5,9.2,5.6,,9.0,9.167,5.0,Defasagem moderada,1.0,8.5,9.5,,9.0,8.1,-1
RA-738,Aluno-738,2022,PEDE2022,0,J,Ametista,Ametista,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.227,,,7.227,,,417.0,124.0,6.0,2.0,8.5,8.1,5.6,,5.7,7.5,10.0,Adequado,0.0,7.7,3.7,,5.7,7.400000000000001,0
RA-739,Aluno-739,2022,PEDE2022,0,J,Agata,Agata,Masculino,8.0,2014.0,2022,0.0,Escola Pública,0.0,6.82,,,6.82,,,549.0,156.0,11.0,2.0,6.4,7.3,5.6,,5.9,7.083,10.0,Adequado,0.0,6.0,5.8,,5.9,6.433333333333333,0
RA-74,Aluno-74,2022,PEDE2022,5,C,Quartzo,Quartzo,Masculino,16.0,2006.0,2022,0.0,Escola Pública,6.0,4.989,,,4.989,,,820.0,57.0,7.0,4.0,9.6,3.3,7.5,,2.0,5.833,5.0,Defasagem moderada,1.0,6.0,0.0,0.0,2.0,6.8,-1
RA-740,Aluno-740,2022,PEDE2022,0,J,Ametista,Ametista,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.218,,,7.218,,,420.0,125.0,7.0,2.0,8.5,9.0,5.6,,7.2,7.5,5.0,Defasagem moderada,1.0,7.3,7.0,,7.15,7.7,-1
RA-741,Aluno-741,2022,PEDE2022,0,J,Agata,Agata,Feminino,10.0,2012.0,2022,0.0,Escola Pública,2.0,6.896,,,6.896,,,526.0,150.0,10.0,2.0,9.5,8.4,5.6,,6.3,7.417,5.0,Defasagem moderada,1.0,7.3,5.2,,6.25,7.833333333333333,-2
RA-742,Aluno-742,2022,PEDE2022,0,J,Ametista,Ametista,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.097,,,7.097,,,456.0,132.0,8.0,2.0,8.5,8.7,5.0,,7.3,7.5,5.0,Defasagem moderada,1.0,8.3,6.2,,7.25,7.3999999999999995,-1
RA-743,Aluno-743,2022,PEDE2022,0,J,Agata,Agata,Feminino,9.0,2013.0,2022,0.0,Escola Pública,1.0,6.672,,,6.672,,,597.0,164.0,14.0,2.0,10.0,7.9,5.6,,4.8,7.5,5.0,Defasagem moderada,1.0,4.8,4.8,,4.8,7.833333333333333,-1
RA-744,Aluno-744,2022,PEDE2022,0,J,Ametista,Ametista,Feminino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.742,,,7.742,,,220.0,58.0,2.0,2.0,9.5,9.7,5.6,,6.2,7.5,10.0,Adequado,0.0,6.0,6.3,,6.15,8.266666666666666,0
RA-745,Aluno-745,2022,PEDE2022,0,J,Ametista,Ametista,Masculino,9.0,2013.0,2021,1.0,Rede Decisão,1.0,7.382,,,7.382,,,367.0,111.0,5.0,2.0,9.0,8.5,5.6,,8.1,7.75,5.0,Defasagem moderada,1.0,8.5,7.7,,8.1,7.7,-1
RA-746,Aluno-746,2022,PEDE2022,0,J,Ametista,Ametista,Masculino,8.0,2014.0,2022,0.0,Escola Pública,0.0,7.656,,,7.656,,,253.0,70.0,3.0,2.0,8.0,9.1,5.6,,7.2,7.417,10.0,Adequado,0.0,7.7,6.7,,7.2,7.566666666666667,0
RA-747,Aluno-747,2022,PEDE2022,0,K,Ametista,Ametista,Feminino,11.0,2011.0,2022,0.0,Escola Pública,2.0,7.676,,,7.676,,,245.0,66.0,6.0,2.0,10.0,7.6,7.5,,8.8,7.917,5.0,Defasagem moderada,1.0,8.2,9.4,,8.8,8.366666666666667,-2
RA-748,Aluno-748,2022,PEDE2022,0,K,Topazio,Topazio,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,8.084,,,8.084,,,122.0,34.0,5.0,2.0,10.0,9.0,7.5,,9.1,8.25,5.0,Defasagem moderada,1.0,9.6,8.6,,9.1,8.833333333333334,-1
RA-749,Aluno-749,2022,PEDE2022,0,K,Ametista,Ametista,Masculino,9.0,2013.0,2022,0.0,Escola Pública,1.0,7.484,,,7.484,,,318.0,94.0,7.0,2.0,9.5,7.7,7.5,,8.8,7.25,5.0,Defasagem moderada,1.0,9.5,8.1,,8.8,8.233333333333333,-1
RA-75,Aluno-75,2022,PEDE2022,5,F,Quartzo,Quartzo,Feminino,16.0,2006.0,2022,0.0,Escola Pública,6.0,3.915,,,3.915,,,855.0,59.0,4.0,4.0,5.4,3.8,6.3,,0.0,4.625,5.0,Defasagem moderada,1.0,0.0,0.0,,0.0,5.166666666666667,-1
RA-750,Aluno-750,2022,PEDE2022,0,K,Agata,Agata,Masculino,10.0,2012.0,2019,3.0,Escola Pública,2.0,6.344,,,6.344,,,670.0,173.0,10.0,2.0,9.5,8.9,4.4,,6.8,5.167,5.0,Defasagem moderada,1.0,7.1,6.4,,6.75,7.599999999999999,-2
RA-751,Aluno-751,2022,PEDE2022,0,K,Quartzo,Quartzo,Masculino,11.0,2011.0,2022,0.0,Escola Pública,2.0,5.246,,,5.246,,,808.0,187.0,11.0,2.0,8.5,5.8,7.5,,3.8,6.167,5.0,Defasagem moderada,1.0,2.7,4.9,,3.8000000000000003,7.266666666666667,-2
